ID,NAME,PRICE,Quantity
1,0005 38 40,250,20
2,00179 22 30,505,15
3,0018 32 36,235,12
4,00192 32 40,435,5
5,0025 22 30,275,10
6,0026 32 40,310,105
7,0066 (MMM) 12 14    [620442],460,2
8,007 FREE,250,-3
9,0086006 32 40,555,-10
10,0086036 32 40,560,5
11,016 FREE,175,-1
12,019 FREE,275,-1
13,020087 28 34,450,-26
14,0254 30 36,625,-1
15,04003 30 36,695,-1
16,04010 30 36,695,1
17,04021 30 36,685,2
18,04245 XL,145,15
19,053569 26 30,560,18
20,073408 22 30,275,2
21,07778 28 34,435,8
22,084466 32 38,395,-4
23,085912 32 40,515,-20
24,086619 32 40,570,-60
25,10042 (MMM) 12 14   [620442],460,2
26,1014 22 30,505,39
27,1014 32 40,625,45
28,1051 18,440,4
29,1059 20 26,630,24
30,106 32 40,550,20
31,1077 18,440,5
32,11055 10 16,250,4
33,1150 10 16,450,1
34,116 28 34,685,1
35,1170 18,655,1
36,12024 4 8,205,6
37,1216 30 38,425,1
38,1217 30 38,495,2
39,1229 30 36,430,3
40,1287 10 16,325,4
41,138 28 34,680,1
42,14045 10 16,595,4
43,14524 10 16,350,15
44,146 B (HG)   28 38    [610449],1040,6
45,146 S (HG) 20 26    [610449],820,4
46,149 32 38,685,1
47,152 18,440,6
48,15968 28 34,325,20
49,16027 28 36,415,10
50,16088 28 36,415,35
51,16129 28 36,415,54
52,16537 28 32,390,40
53,166 SMALL,410,9
54,17131 28 34,405,3
55,17151 28 34,455,1
56,17152 28 34,475,16
57,172 18,470,3
58,17256 28 32,400,20
59,17267 28 34,465,8
60,17287 34 36,425,11
61,17322 30 36,475,8
62,17403 28 32,655,3
63,17421 34 36,410,69
64,17495 28 32,475,4
65,17579 28 34,495,2
66,17602 28 34,435,4
67,1762 10 20,280,12
68,17881 28 34,400,4
69,17946 28 34,450,9
70,18343 28 32,400,4
71,18358 28 32,375,20
72,18386 28 34,455,8
73,18412 28 34,530,4
74,18450 28 34,605,3
75,18522 28 34,455,32
76,18597 36 38,495,2
77,18626 28 32,485,5
78,18907 28 34,455,10
79,18954 28 34,465,10
80,18962 28 34,510,12
81,19004 36 40,445,-45
82,19184 28 34,530,16
83,19319 28 34,430,39
84,19484 28 32,415,15
85,19485 28 32,400,20
86,19486 28 32,400,10
87,19532 36 40,570,6
88,19544 18,480,1
89,19558 28 34,485,5
90,19598 28 34,495,-3
91,19626 28 34,505,1
92,19671 30 36,510,1
93,19725 28 34,415,4
94,19727 28 34,480,19
95,19782 28 34,430,-3
96,19799 28 32,515,12
97,19825 28 34,435,10
98,19837 28 34,445,8
99,20 GH/PANTS 12 15,115,12
100,20 GH/PANTS 16 18,125,9
101,20081 30 36,505,3
102,20087 28 34,395,47
103,20090 28 34,480,13
104,20092 28 34,515,15
105,20150 28 34,465,4
106,20162 36 40,440,5
107,20176 28 34,510,-5
108,20177 28 34,510,5
109,20178 28 34,510,29
110,20227 28 34,275,56
111,20246 36 38,575,74
112,20248 28 34,375,18
113,20305 28 34,345,15
114,20312 28 34,535,71
115,20316 28 34,355,15
116,20366 28 36,405,-1
117,20367 28 36,340,-1
118,20386 28 34,595,-1
119,20387 28 34,665,4
120,20392 28 34,345,-1
121,20412 28 36,395,-2
122,20413 28 34,325,-1
123,20418 30 36,430,-2
124,20623 30 36,625,1
125,20626 28 34,505,-4
126,20634 28 34,570,1
127,20653 28 34,590,2
128,20657 28 34,500,-2
129,20660 28 34,550,6
130,20687 28 34,555,11
131,20690 28 34,535,14
132,20691 28 34,535,1
133,20699 30 36,560,1
134,20701 28 34,460,14
135,20735 28 34,465,2
136,20748 28 34,445,8
137,20774 28 34,575,1
138,20775 28 34,325,4
139,20778 28 34,525,12
140,20795 24 34,570,2
141,2081 2 10,310,5
142,20830 28 34,550,20
143,20875 28 34,525,15
144,20936 28 34,0,1
145,20963 28 34,465,16
146,20986 28 34,455,15
147,21045 28 32,425,15
148,21045 28 34,0,15
149,21049 28 34,440,5
150,21081 28 34,410,3
151,21097 28 32,455,4
152,21141 28 34,720,12
153,21154 28 34,575,1
154,21197 28 32,0,4
155,21198 36 38,580,18
156,21211 28 34,595,4
157,21223 28 34,430,8
158,21279 28 34,705,16
159,21319 28 34,235,31
160,2133 2 12,275,18
161,21344 36 38,570,-6
162,21345 28 34,515,64
163,21349 28 32,455,4
164,21356 28 34,530,17
165,21389 28 34,630,20
166,21402 28 34,625,10
167,21434 28 34,465,16
168,21496 28 34,430,27
169,21502 28 34,540,8
170,21515 28 32,505,15
171,21519 28 34,615,12
172,21524 28 34,535,7
173,21539 28 32,585,20
174,21541 28 30,570,18
175,21555 36 40,430,1
176,21556 28 34,465,1
177,21574 28 34,575,28
178,21597 L XL,365,4
179,21599 28 34,605,20
180,21634 36 38,450,1
181,21639 28 34,310,12
182,21643 16 26,0,-6
183,21643 28 32,585,6
184,21656 28 34,530,3
185,21666 M 2XL,395,-36
186,21683 36 40,595,-5
187,21684 36 40,595,-26
188,21694 28 34,535,1
189,21775 28 34,430,8
190,21790 28 34,595,4
191,21791 28 34,490,4
192,21792 28 34,510,12
193,21794 28 34,475,-1
194,21804 34 38,560,18
195,21817 28 34,475,24
196,21823 28 34,575,7
197,21825 28 34,445,25
198,21839 28 32,405,45
199,21850 34 38,615,2
200,21858 28 30,485,-1
201,21858 28 34,0,1
202,21867 28 34,565,4
203,21871 28 34,665,12
204,21874 28 30,605,1
205,21896 28 34,395,60
206,21902 28 34,455,1
207,21918 28 34,440,1
208,21920 28 34,575,2
209,21925 28 34,535,4
210,21932 28 30,590,3
211,21937 28 34,515,1
212,21947 28 34,585,4
213,21952 28 32,545,20
214,21976 28 34,545,25
215,21982 28 36,335,4
216,21989 28 32,480,1
217,21991 28 32,580,7
218,21997 28 32,585,1
219,22003 28 34,425,82
220,22040 28 32,570,7
221,22045 28 34,425,25
222,22052 28 34,440,69
223,22065 28 34,430,4
224,22066 28 32,610,6
225,22075 28 32,480,5
226,22087 28 34,595,4
227,22111 28 34,575,-4
228,22114 28 34,300,12
229,22125 28 34,450,1
230,22131 36 38,570,18
231,22142 28 32,610,1
232,22149 28 32,445,1
233,22165 28 30,595,1
234,22183 28 34,565,1
235,22191 28 34,540,6
236,22207 28 34,515,1
237,22218 36 38,610,6
238,22219 28 34,580,41
239,22221 28 34,555,1
240,22226 28 34,485,1
241,22229 28 32,570,3
242,22245 28 32,485,5
243,22264 28 32,580,4
244,22286 28 32,480,-35
245,22286 28 34,480,-5
246,22293 28 34,570,27
247,22296 28 34,430,24
248,22297 28 34,405,8
249,22312 28 34,540,7
250,22313 28 34,555,3
251,22314 28 34,585,1
252,22329 28 34,545,4
253,22335 28 34,490,8
254,22343 28 34,455,11
255,22349 28 32,505,1
256,22352 28 32,515,1
257,22353 28 34,510,20
258,22359 28 34,470,1
259,22374 28 34,520,2
260,22380 28 32,535,6
261,22381 28 32,510,10
262,22383 28 32,470,44
263,22389 28 34,570,4
264,22400 36 38,615,1
265,22401 28 34,475,4
266,22411 28 32,465,1
267,22414 28 34,695,-16
268,2242 6 16,395,5
269,22423 28 34,0,4
270,22424 28 34,550,30
271,22435 28 34,590,2
272,22442 28 32,485,-5
273,22442 28 34,0,5
274,22451 28 32,455,2
275,22452 28 34,505,4
276,2246 1 5,325,30
277,22461 28 34,485,5
278,22465 28 32,560,8
279,2247 1 5,325,18
280,22495 28 34,425,23
281,22502 36 38,605,2
282,22519 28 32,465,3
283,2252 6 16,370,30
284,22522 28 32,555,-1
285,22524 28 34,385,8
286,2253 6 16,390,6
287,22539 28 34,550,10
288,22541 28 34,595,9
289,22543 28 34,485,-4
290,22546 28 34,495,7
291,22547 36 40,575,-1
292,22554 36 40,455,24
293,22568 36 40,545,4
294,22572 36 40,355,9
295,22573 34 38,590,3
296,22599 28 32,540,1
297,22603 28 34,440,-2
298,22610 28 36,395,43
299,22611 28 36,505,154
300,22624 28 34,555,2
301,2263 12 20,380,10
302,22631 28 34,570,1
303,22636 28 34,635,4
304,22638 36 38,680,2
305,22639 28 32,555,5
306,22643 28 34,610,-6
307,22651 28 34,565,1
308,22659 34 38,605,5
309,22663 34 38,470,2
310,22666 36 38,545,21
311,22667 28 34,685,-1
312,22667 28 36,0,2
313,22677 28 34,555,1
314,22686 28 34,430,6
315,22698 28 32,560,-4
316,22700 28 32,515,1
317,22722 28 32,480,1
318,22727 28 32,580,-4
319,22731 28 34,535,20
320,22732 28 34,605,32
321,22738 28 34,535,4
322,22750 28 34,425,1
323,22790 28 34,600,-2
324,22792 28 34,595,5
325,22804 28 34,495,30
326,22813 28 34,455,8
327,22819 28 34,360,78
328,22831 28 32,550,-9
329,22831 28 34,0,4
330,22845 28 34,0,5
331,22862 28 30,535,8
332,22862 28 34,535,3
333,22865 28 34,525,4
334,22867 28 34,475,1
335,22881 28 32,485,11
336,22882 28 32,585,2
337,22882 28 34,585,-2
338,22896 28 34,485,-4
339,22906 28 32,485,-2
340,22906 28 34,0,10
341,22908 28 32,395,1
342,22913 36 38,585,23
343,22926 28 34,635,8
344,22931 36 40,470,5
345,22932 36 40,485,7
346,22933 28 34,480,-1
347,22934 28 34,545,1
348,22956 28 34,600,1
349,22965 28 32,520,1
350,22966 28 34,550,-3
351,22970 28 34,595,80
352,22971 28 34,560,40
353,22972 36 40,635,11
354,22973 36 40,595,29
355,22989 36 40,720,-1
356,22990 28 34,695,9
357,23007 28 34,475,1
358,23008 28 34,520,48
359,23013 28 32,475,1
360,23014 28 32,425,-5
361,23015 28 32,440,20
362,23022 28 34,425,82
363,23024 28 34,480,36
364,23027 28 32,580,2
365,23035 28 34,560,3
366,23071 28 34,690,12
367,23079 28 32,525,-4
368,23082 28 32,615,5
369,23094 28 32,535,35
370,23095 28 34,595,8
371,23096 28 36,530,2
372,23099 36 38,0,4
373,23099 36 40,590,-8
374,23108 28 32,470,1
375,23110 28 34,545,4
376,23112 28 34,560,12
377,23114 28 32,525,1
378,23121 28 34,635,6
379,23125 28 34,480,4
380,23128 36 38,535,4
381,23132 28 32,445,1
382,23135 28 32,515,1
383,23144 28 30,485,2
384,23151 28 30,580,1
385,23158 28 32,480,1
386,23159 28 32,480,2
387,23160 28 34,560,8
388,23161 28 34,570,-5
389,23162 28 34,625,1
390,23167 28 34,440,5
391,23169 28 34,520,2
392,23173 L 2XL,345,4
393,23179 28 32,575,7
394,23201 28 32,555,19
395,23202 28 32,565,17
396,23204 28 30,0,-12
397,23204 28 32,580,12
398,23205 28 30,535,-1
399,23206 28 30,535,-1
400,23216 28,460,-1
401,23229 28 34,495,16
402,23239 36 38,575,40
403,23244 28 34,505,3
404,23248 36 40,630,34
405,23249 28 34,605,5
406,23253 28 34,440,6
407,23265 28 34,510,1
408,23273 28 34,530,-10
409,23275 28 34,530,1
410,23282 28 32,460,2
411,23288 34 38,610,12
412,23289 28 32,735,8
413,2329 22 24,480,4
414,23291 28 34,705,1
415,23300 28 32,585,1
416,23301 28 32,545,10
417,23305 28 30,505,10
418,23312 28 34,430,1
419,23313 28 34,560,-1
420,23323 28 34,545,14
421,23324 28 34,535,17
422,23331 28 34,595,53
423,23334 28 32,565,-1
424,23337 28 32,505,32
425,23340 28 32,520,-5
426,23342 28 32,395,1
427,23345 28 34,555,4
428,23357 28 34,620,1
429,23361 28 34,575,5
430,23364 28 32,530,1
431,23369 28 30,580,23
432,23369 28 34,580,9
433,23372 28 34,630,7
434,23373 28 32,0,4
435,23373 28 34,475,65
436,23374 28 34,455,1
437,23375 28 34,575,8
438,23379 28 32,525,4
439,23381 28 34,725,-1
440,23382 28 32,475,9
441,23384 28 32,515,2
442,23390 28 32,490,20
443,23391 28 32,495,20
444,23392 28 32,495,-1
445,23394 28 32,615,-2
446,23395 28 34,615,1
447,23396 28 32,535,1
448,23399 28 30,455,6
449,2340 12 20,365,4
450,23400 28 32,460,1
451,23401 28 34,515,46
452,23407 36 40,550,-2
453,23408 28 34,395,133
454,23409 28 34,405,1
455,23414 36 38,775,1
456,23415 28 34,505,38
457,23417 28 32,350,-1
458,23422 28 32,345,24
459,23428 28 32,510,45
460,23430 28 32,485,1
461,23433 28 34,545,1
462,23438 36 38,625,25
463,23439 36 38,615,26
464,23440 28 34,525,6
465,23441 28 34,535,10
466,23442 28 34,565,-1
467,23445 28 34,570,5
468,23446 28 32,510,1
469,23449 28 32,435,-4
470,23454 28 30,590,8
471,23455 28 32,535,10
472,23456 28 34,375,12
473,23457 28 34,455,17
474,23460 28 34,495,35
475,23461 28 32,505,-1
476,23464 28 32,565,35
477,23465 28 32,565,19
478,23475 28 34,670,10
479,23481 28 34,425,1
480,23482 36 40,590,20
481,23485 34 38,570,15
482,23486 28 34,490,1
483,23487 28 32,480,29
484,23491 28 34,615,3
485,23492 28 34,590,1
486,23495 28 34,530,4
487,23496 28 34,465,-1
488,23497 28 34,490,17
489,23499 36 38,440,51
490,23503 28 34,565,-12
491,23505 28 34,595,16
492,23506 28 34,560,9
493,23509 28 32,510,15
494,23511 28 34,530,10
495,23512 28 34,565,4
496,23513 28 34,570,36
497,23514 28 34,570,38
498,23515 28 34,410,-4
499,23516 28 34,630,2
500,23517 28 34,605,40
501,23519 34 38,710,-1
502,23520 28 32,435,1
503,23522 28 32,570,20
504,23524 28 32,570,27
505,23527 28 32,465,2
506,23528 28 32,510,1
507,23529 28 32,510,1
508,23532 28 34,565,5
509,23535 34 36,620,8
510,23543 28 34,605,4
511,23545 28 34,585,4
512,23547 36 38,640,6
513,23551 28 34,735,3
514,23565 28 32,310,20
515,23568 28 34,495,1
516,23569 28 34,520,1
517,23570 28 34,495,5
518,23571 36 40,705,2
519,23573 28 32,540,5
520,23575 28 32,530,7
521,23577 28 32,365,30
522,23583 28 32,475,1
523,23585 28 32,560,11
524,23586 28 34,395,1
525,23588 28 30,580,8
526,23590 28 32,520,-5
527,23592 34 36,550,14
528,23599 28 32,460,1
529,23600 28 34,465,-2
530,23603,675,1
531,23604,730,30
532,23606 28 34,560,-4
533,23609,505,1
534,23610,475,-5
535,23611,595,-6
536,23614,595,1
537,23620,730,3
538,23622,730,-4
539,23627 28 34,580,1
540,23631 28-34,620,1
541,23636 28 34,445,8
542,23643 M-l-xl,450,11
543,23644 28 34,505,24
544,23645 M to xl,595,3
545,23646 28 32,445,25
546,23647 28 32,445,40
547,23648 28 32,455,1
548,23651 34 36,525,4
549,23652 28 34,695,20
550,23657 36 40,710,-3
551,23665 28 34,670,20
552,23674 28 32,475,2
553,23678 28 32,590,-4
554,23679 28 32,565,4
555,23680 28 32,590,44
556,23681 28 32,525,2
557,23684 28 34,585,32
558,23692 XL XXL,300,16
559,23695 28 34,610,1
560,23697 28 34,525,2
561,23701 28 32,525,16
562,23710 28 32,505,1
563,23712 28 34,705,2
564,23717 28 32,480,1
565,23718 28 34,515,8
566,23725 28 34,590,24
567,23727 36 38,640,8
568,23732 28,570,-8
569,23733 28,560,1
570,23736 28 34,425,1
571,23737 28 34,450,4
572,23745 28 34,310,12
573,23747 28 32,620,4
574,23751 28,510,42
575,23753 XL XXL,255,26
576,23755 28 32,520,1
577,23758 36 40,675,-1
578,23759 28 34,705,2
579,23764 28 32,605,15
580,23766 28 30,565,-4
581,23773 28 34,690,1
582,23776 28 34,570,8
583,23781 28 32,455,3
584,23784 28 32,585,20
585,23786 28 34,730,1
586,23793 28 32,490,-1
587,23796 28 34,345,8
588,23800 28 32,550,2
589,23802 28 34,425,149
590,23803 28 34,480,5
591,23804 28 34,540,1
592,23807 28 32,375,1
593,23809 28,545,-2
594,23809 28 34,545,2
595,23810 28 32,455,20
596,23812 28 34,530,4
597,23813 28 34,640,1
598,23814 28 32,570,5
599,23815 28 32,480,16
600,23816 28 34,485,24
601,23824 28 34,530,24
602,23825 28 34,375,12
603,23827 28 34,555,32
604,23828 28 34,505,100
605,23829 M L XL,590,6
606,23830 28 34,465,-1
607,23832 28 36,625,2
608,23835 28 34,495,24
609,23836 M L XL,565,36
610,23837 28 34,460,121
